id,Age,Academic Pressure,Work Pressure,CGPA,Study Satisfaction,Sleep Duration,Work/Study Hours,Financial Stress,sleep_hours,decision_fatigue_level
24156,30,5,0,8.04,2,Less than 5 hours,12,5,4,2
24163,29,2,0,8.04,4,Less than 5 hours,1,1,4,0
24164,21,1,0,5.7,4,7-8 hours,2,1,7.5,0
24175,29,3,0,9.49,4,5-6 hours,2,4,5.5,1
24180,18,5,0,6.37,5,7-8 hours,11,5,7.5,0
24186,24,5,0,5.16,4,Less than 5 hours,12,3,4,2
24192,30,3,0,9.44,2,More than 8 hours,10,5,8.5,0
24194,21,5,0,5.75,3,Less than 5 hours,5,2,4,2
24202,29,2,0,9.5,4,More than 8 hours,3,2,8.5,0
24207,29,1,0,7.53,2,Less than 5 hours,2,1,4,0
24209,30,1,0,6,3,Less than 5 hours,10,2,4,2
24214,25,1,0,6.1,5,Less than 5 hours,10,3,4,2
24217,29,3,0,5.65,4,5-6 hours,3,4,5.5,1
24221,19,5,0,7.91,3,7-8 hours,10,2,7.5,0
24223,20,3,0,5.82,3,7-8 hours,6,5,7.5,1
24224,23,3,0,6.37,3,Less than 5 hours,11,4,4,2
24227,34,5,0,8.95,3,5-6 hours,11,3,5.5,2
24230,30,3,0,7.94,5,More than 8 hours,3,3,8.5,0
24234,29,1,0,9.11,4,7-8 hours,4,3,7.5,0
24238,31,4,0,8.04,2,Less than 5 hours,6,5,4,2
24240,26,1,0,5.32,5,5-6 hours,11,5,5.5,2
24245,26,3,0,8.52,4,7-8 hours,10,1,7.5,1
24250,27,3,0,6.77,2,7-8 hours,7,2,7.5,1
24253,34,4,0,9.13,3,Less than 5 hours,4,5,4,2
24264,28,5,0,5.89,5,More than 8 hours,6,2,8.5,0
24267,34,3,0,6.04,5,7-8 hours,5,1,7.5,1
24270,34,3,0,9.49,5,7-8 hours,2,1,7.5,1
24273,23,4,0,8.11,1,Less than 5 hours,2,1,4,2
24276,33,1,0,5.97,3,More than 8 hours,8,4,8.5,0
24279,28,4,0,9.19,1,5-6 hours,12,3,5.5,2
24281,33,2,0,5.42,4,5-6 hours,2,3,5.5,1
24304,25,5,0,5.51,3,Less than 5 hours,7,5,4,2
24311,18,3,0,5.12,4,Less than 5 hours,9,5,4,2
24322,23,1,0,8.52,1,Less than 5 hours,10,3,4,2
24329,20,4,0,6.41,4,More than 8 hours,12,5,8.5,0
24331,24,3,0,9.19,5,7-8 hours,5,2,7.5,1
24336,33,2,0,9.96,3,Less than 5 hours,6,1,4,0
24339,28,4,0,5.85,4,7-8 hours,4,1,7.5,0
24350,29,2,0,7.53,5,More than 8 hours,4,1,8.5,0
24354,29,3,0,7.04,2,Less than 5 hours,5,4,4,0
24364,33,3,0,5.85,5,7-8 hours,4,1,7.5,1
24372,27,5,0,5.6,2,Less than 5 hours,1,5,4,2
24373,24,3,0,9.06,1,5-6 hours,6,3,5.5,1
24375,28,5,0,9.29,3,5-6 hours,10,5,5.5,2
24376,28,5,0,8.24,2,7-8 hours,8,4,7.5,0
24384,23,1,0,9.54,3,7-8 hours,0,4,7.5,0
24387,34,4,0,9.44,5,Less than 5 hours,4,1,4,2
24390,20,3,0,8.04,1,7-8 hours,4,5,7.5,1
24402,31,1,0,5.3,4,More than 8 hours,7,3,8.5,0
24404,29,4,0,5.27,2,More than 8 hours,0,2,8.5,0
24407,33,3,0,9.93,4,5-6 hours,2,2,5.5,1
24411,20,5,0,6.21,1,7-8 hours,0,4,7.5,0
24413,32,5,0,8.21,1,Less than 5 hours,10,5,4,2
24419,31,5,0,7.53,1,Less than 5 hours,10,4,4,2
24423,32,3,0,5.7,3,Less than 5 hours,0,1,4,0
24431,20,1,0,7,4,5-6 hours,4,1,5.5,0
24434,31,3,0,7.1,3,Less than 5 hours,3,3,4,0
24436,18,1,0,5.82,3,Less than 5 hours,11,1,4,2
24443,23,5,0,8,1,7-8 hours,11,1,7.5,0
24445,30,2,0,7.94,2,More than 8 hours,0,5,8.5,0
24457,19,5,0,8.95,2,5-6 hours,5,5,5.5,2
24471,28,5,0,8.52,1,7-8 hours,7,5,7.5,0
24475,26,5,0,8.56,1,More than 8 hours,8,2,8.5,0
24477,19,5,0,5.98,2,Less than 5 hours,10,5,4,2
24478,23,3,0,7.88,1,Less than 5 hours,6,3,4,0
24479,19,5,0,9.88,5,7-8 hours,5,5,7.5,0
24481,25,3,0,8.91,2,Less than 5 hours,5,5,4,0
24486,29,3,0,9.96,4,5-6 hours,9,3,5.5,2
24488,18,3,0,9.98,4,Less than 5 hours,11,1,4,2
24495,19,5,0,6.53,5,More than 8 hours,8,2,8.5,0
24501,21,5,0,5.06,4,5-6 hours,5,3,5.5,2
24502,21,4,0,8.95,1,7-8 hours,4,5,7.5,0
24505,33,1,0,9.72,4,7-8 hours,3,3,7.5,0
24512,29,1,0,5.84,5,7-8 hours,5,5,7.5,0
24524,18,2,0,7.53,2,7-8 hours,5,5,7.5,1
24529,29,3,0,7.88,3,Less than 5 hours,10,2,4,2
24534,18,3,0,8.91,3,Less than 5 hours,11,5,4,2
24535,33,4,0,8.56,5,More than 8 hours,0,5,8.5,0
24551,22,1,0,7.47,4,More than 8 hours,11,3,8.5,0
24564,33,2,0,5.56,2,More than 8 hours,6,2,8.5,0
24566,34,1,0,9.72,2,7-8 hours,1,1,7.5,0
24568,29,3,0,8.39,2,Less than 5 hours,6,1,4,0
24588,28,2,0,7.21,4,Less than 5 hours,3,2,4,0
24593,19,5,0,8.91,4,7-8 hours,9,1,7.5,0
24598,29,5,0,6.42,2,7-8 hours,11,4,7.5,0
24599,21,5,0,8.52,1,Less than 5 hours,12,1,4,2
24607,21,3,0,8.74,4,Less than 5 hours,10,1,4,2
24611,25,3,0,5.39,1,7-8 hours,3,4,7.5,1
24619,34,2,0,5.47,4,More than 8 hours,11,3,8.5,0
24622,21,1,0,8.28,2,5-6 hours,2,5,5.5,0
24629,25,2,0,9.63,3,7-8 hours,11,1,7.5,1
24636,18,3,0,7.77,5,More than 8 hours,11,4,8.5,0
24649,19,4,0,7.37,2,Less than 5 hours,11,5,4,2
24652,32,5,0,7.91,1,5-6 hours,12,5,5.5,2
24656,28,5,0,5.37,2,More than 8 hours,10,5,8.5,0
24660,22,5,0,5.76,2,Less than 5 hours,7,3,4,2
24663,24,1,0,7.77,5,Less than 5 hours,5,1,4,0
24664,27,2,0,5.12,5,7-8 hours,6,2,7.5,1
24670,19,3,0,7.51,3,More than 8 hours,9,4,8.5,0
24686,29,4,0,6.99,4,7-8 hours,10,4,7.5,0
24687,31,3,0,8.81,4,Less than 5 hours,12,4,4,2
24689,32,1,0,9.89,2,7-8 hours,10,5,7.5,0
24690,26,1,0,9.21,3,More than 8 hours,7,5,8.5,0
24691,24,1,0,7.85,3,More than 8 hours,6,1,8.5,0
24697,24,5,0,6.63,5,Less than 5 hours,12,2,4,2
24698,23,3,0,7.52,4,5-6 hours,12,2,5.5,2
24699,22,2,0,5.85,2,7-8 hours,2,1,7.5,1
24701,32,3,0,6.02,2,Less than 5 hours,8,3,4,2
24707,24,5,0,5.84,3,7-8 hours,12,2,7.5,0
24708,24,2,0,8.04,3,5-6 hours,2,4,5.5,1
24709,31,1,0,5.85,1,7-8 hours,2,2,7.5,0
24710,32,2,0,8.14,5,7-8 hours,0,4,7.5,1
24715,30,5,0,7.24,4,More than 8 hours,6,2,8.5,0
24717,18,3,0,6.17,2,7-8 hours,10,1,7.5,1
24727,25,4,0,9.93,5,7-8 hours,11,3,7.5,0
24730,25,4,0,5.27,4,7-8 hours,1,1,7.5,0
24739,28,1,0,5.86,4,More than 8 hours,1,3,8.5,0
24751,21,3,0,9.56,5,7-8 hours,2,1,7.5,1
24761,32,3,0,6.27,2,7-8 hours,2,4,7.5,1
24766,20,5,0,8.04,2,7-8 hours,6,5,7.5,0
24768,28,5,0,5.16,5,5-6 hours,0,1,5.5,2
24773,19,4,0,7.88,3,More than 8 hours,3,5,8.5,0
24778,22,3,0,8.08,5,5-6 hours,12,2,5.5,2
24786,31,1,0,9.92,2,5-6 hours,0,3,5.5,0
24796,34,5,0,8.95,5,5-6 hours,9,5,5.5,2
24799,22,3,0,7.11,3,Less than 5 hours,10,5,4,2
24800,18,5,0,8.35,5,7-8 hours,10,3,7.5,0
24802,19,3,0,6.75,4,More than 8 hours,6,5,8.5,0
24806,24,1,0,7.77,4,Less than 5 hours,0,4,4,0
24808,21,5,0,8.39,1,Less than 5 hours,12,3,4,2
24814,29,2,0,5.27,5,Less than 5 hours,9,5,4,2
24821,29,3,0,7.25,3,Less than 5 hours,3,1,4,0
24824,25,3,0,8.74,2,7-8 hours,6,3,7.5,1
24833,20,4,0,7.5,2,Less than 5 hours,1,4,4,2
24835,28,1,0,8.52,4,More than 8 hours,12,4,8.5,0
24842,20,3,0,8.91,4,5-6 hours,10,4,5.5,2
24859,21,1,0,6.51,5,More than 8 hours,1,2,8.5,0
24864,28,5,0,9.56,3,5-6 hours,10,2,5.5,2
24869,23,3,0,5.77,4,5-6 hours,12,1,5.5,2
24886,32,3,0,7.83,5,More than 8 hours,5,1,8.5,0
24888,29,4,0,9.89,2,Less than 5 hours,6,1,4,2
24893,21,3,0,5.79,5,Less than 5 hours,6,5,4,0
24895,33,5,0,8.04,2,5-6 hours,3,3,5.5,2
24902,19,5,0,8.14,2,5-6 hours,11,5,5.5,2
24903,34,5,0,9.95,1,Less than 5 hours,6,4,4,2
24911,24,1,0,7.48,5,More than 8 hours,3,3,8.5,0
24914,28,1,0,8.9,5,7-8 hours,3,2,7.5,0
24917,28,4,0,8.96,1,More than 8 hours,6,4,8.5,0
24919,34,2,0,9.74,1,5-6 hours,6,4,5.5,1
24922,29,3,0,5.45,3,5-6 hours,12,3,5.5,2
24926,24,5,0,8.59,1,Less than 5 hours,10,5,4,2
24929,21,5,0,7.39,5,Less than 5 hours,12,4,4,2
24930,27,3,0,5.58,4,7-8 hours,9,1,7.5,1
24937,18,4,0,7.17,1,Less than 5 hours,12,5,4,2
24940,23,5,0,6.26,1,More than 8 hours,8,2,8.5,0
24941,20,3,0,5.16,5,Less than 5 hours,3,5,4,0
24942,25,5,0,9.11,1,Less than 5 hours,2,3,4,2
24943,27,5,0,7.22,2,Less than 5 hours,4,5,4,2
24949,21,5,0,5.83,5,Less than 5 hours,10,4,4,2
24950,24,1,0,5.38,2,5-6 hours,12,4,5.5,2
24956,28,1,0,5.58,3,More than 8 hours,2,5,8.5,0
24959,22,2,0,7.08,4,5-6 hours,6,5,5.5,1
24965,30,1,0,6.37,4,More than 8 hours,12,4,8.5,0
24968,25,4,0,5.47,2,5-6 hours,10,4,5.5,2
24972,25,5,0,5.79,3,7-8 hours,10,2,7.5,0
24975,31,3,0,10,5,5-6 hours,12,1,5.5,2
24977,29,1,0,9.44,2,Less than 5 hours,10,1,4,2
24987,30,3,0,7.6,5,7-8 hours,7,1,7.5,1
24990,20,4,0,5.88,3,Less than 5 hours,9,4,4,2
24996,19,5,0,9.78,5,More than 8 hours,10,5,8.5,0
25001,24,5,0,8.74,2,5-6 hours,11,1,5.5,2
25029,20,2,0,8.32,4,7-8 hours,11,4,7.5,1
25030,31,2,0,8.44,3,More than 8 hours,5,4,8.5,0
25046,33,1,0,8.95,1,Less than 5 hours,3,2,4,0
25048,18,4,0,7.94,2,More than 8 hours,9,3,8.5,0
25057,20,5,0,6.16,3,Less than 5 hours,7,1,4,2
25064,23,1,0,6.83,1,Less than 5 hours,10,4,4,2
25065,24,3,0,8.95,1,7-8 hours,11,3,7.5,1
25068,22,2,0,9.56,3,Less than 5 hours,10,4,4,2
25074,18,5,0,5.86,1,7-8 hours,11,4,7.5,0
25078,31,1,0,5.72,5,5-6 hours,10,3,5.5,2
25081,18,2,0,8.13,2,Less than 5 hours,9,5,4,2
25100,24,3,0,9.74,5,5-6 hours,6,5,5.5,1
25101,23,2,0,8.91,3,More than 8 hours,2,1,8.5,0
25111,30,1,0,5.99,1,7-8 hours,8,3,7.5,0
25114,26,1,0,6.41,1,More than 8 hours,3,2,8.5,0
25130,18,3,0,7.77,4,5-6 hours,4,2,5.5,1
25131,29,1,0,9.71,4,Less than 5 hours,1,2,4,0
25142,31,4,0,6.75,5,More than 8 hours,10,4,8.5,0
25145,20,5,0,6.08,5,7-8 hours,10,4,7.5,0
25150,18,5,0,8.17,4,5-6 hours,12,5,5.5,2
25183,29,4,0,8.95,2,7-8 hours,10,2,7.5,0
25188,19,2,0,9.93,5,More than 8 hours,4,1,8.5,0
25190,33,4,0,6.36,4,5-6 hours,12,5,5.5,2
25192,19,4,0,6.37,1,7-8 hours,10,5,7.5,0
25193,24,4,0,9.66,5,7-8 hours,12,3,7.5,0
25199,21,1,0,9.86,3,7-8 hours,6,4,7.5,0
25207,26,1,0,5.56,2,7-8 hours,5,4,7.5,0
25211,20,5,0,8.25,5,7-8 hours,3,5,7.5,0
25216,33,5,0,9.44,5,5-6 hours,10,5,5.5,2
25220,20,5,0,8.93,2,Less than 5 hours,6,4,4,2
25226,28,5,0,6.78,2,5-6 hours,0,3,5.5,2
25230,19,3,0,8.7,1,5-6 hours,7,3,5.5,2
25232,23,3,0,9.39,3,7-8 hours,12,4,7.5,1
25247,33,1,0,8.09,3,5-6 hours,12,4,5.5,2
25250,24,4,0,8.04,2,Less than 5 hours,8,3,4,2
25256,20,4,0,5.55,3,7-8 hours,11,5,7.5,0
25262,31,1,0,6.51,3,Less than 5 hours,2,3,4,0
25264,32,5,0,9.6,2,7-8 hours,9,4,7.5,0
25266,34,1,0,7.88,4,5-6 hours,10,3,5.5,2
25272,18,4,0,6.89,4,Less than 5 hours,6,2,4,2
25274,31,4,0,8.54,3,Less than 5 hours,10,2,4,2
25276,29,2,0,9.91,3,7-8 hours,4,2,7.5,1
25287,25,3,0,6.78,5,7-8 hours,8,4,7.5,1
25290,24,3,0,8.17,2,Less than 5 hours,11,3,4,2
25293,29,5,0,9.96,1,7-8 hours,10,5,7.5,0
25298,33,1,0,6.28,3,7-8 hours,7,1,7.5,0
25301,29,5,0,8.91,1,More than 8 hours,10,1,8.5,0
25306,21,4,0,7.94,4,5-6 hours,7,3,5.5,2
25308,20,3,0,7.25,2,More than 8 hours,12,4,8.5,0
25313,23,2,0,9.43,5,More than 8 hours,8,1,8.5,0
25315,28,4,0,8.44,3,5-6 hours,11,3,5.5,2
25316,32,1,0,7.04,2,Less than 5 hours,3,3,4,0
25318,34,1,0,6,3,5-6 hours,11,1,5.5,2
25319,33,3,0,5.74,1,7-8 hours,1,3,7.5,1
25323,20,5,0,8.17,3,7-8 hours,10,5,7.5,0
25326,19,3,0,7.5,5,Less than 5 hours,5,3,4,0
25327,33,1,0,9.95,3,More than 8 hours,12,1,8.5,0
25346,26,4,0,8.24,4,More than 8 hours,10,4,8.5,0
25353,32,1,0,10,2,Less than 5 hours,12,3,4,2
25355,18,5,0,8.63,5,7-8 hours,10,3,7.5,0
25356,24,4,0,9.93,3,7-8 hours,6,5,7.5,0
25365,26,4,0,6.08,3,5-6 hours,6,4,5.5,2
25369,26,3,0,8.63,2,Less than 5 hours,2,3,4,0
25370,21,2,0,5.85,2,More than 8 hours,2,5,8.5,0
25377,21,4,0,9.96,4,Less than 5 hours,10,1,4,2
25379,20,3,0,9.19,5,7-8 hours,11,4,7.5,1
25382,33,3,0,8.78,2,More than 8 hours,8,3,8.5,0
25404,34,1,0,7.75,4,5-6 hours,12,5,5.5,2
25407,20,4,0,5.64,2,7-8 hours,2,3,7.5,0
25409,33,2,0,6.47,4,7-8 hours,6,4,7.5,1
25422,34,2,0,7.25,3,More than 8 hours,7,1,8.5,0
25436,28,4,0,6.75,3,Less than 5 hours,10,3,4,2
25443,29,3,0,6.21,2,5-6 hours,3,5,5.5,1
25445,25,2,0,7.25,4,More than 8 hours,2,1,8.5,0
25448,23,3,0,9.96,4,Less than 5 hours,11,1,4,2
25456,24,5,0,6.17,1,5-6 hours,11,5,5.5,2
25462,22,5,0,8.04,1,7-8 hours,12,5,7.5,0
25467,26,2,0,8.14,5,5-6 hours,4,2,5.5,1
25470,30,3,0,8.73,5,Less than 5 hours,9,5,4,2
25474,34,5,0,5.37,2,Less than 5 hours,7,2,4,2
25477,27,3,0,5.9,4,Less than 5 hours,8,1,4,2
25480,33,5,0,7.88,2,Less than 5 hours,12,3,4,2
25481,33,3,0,8.16,4,7-8 hours,12,1,7.5,1
25482,29,4,0,10,2,7-8 hours,7,5,7.5,0
25486,31,5,0,5.11,3,More than 8 hours,10,5,8.5,0
25493,24,3,0,7.21,5,5-6 hours,9,5,5.5,2
25495,18,3,0,5.89,2,More than 8 hours,11,3,8.5,0
25501,23,2,0,7.92,2,Less than 5 hours,2,3,4,0
25506,20,1,0,6.83,3,5-6 hours,8,3,5.5,2
25521,18,5,0,6.16,5,5-6 hours,7,3,5.5,2
25536,18,5,0,5.11,2,7-8 hours,1,5,7.5,0
25543,34,1,0,7.09,3,Less than 5 hours,12,4,4,2
25544,27,2,0,5.7,4,Less than 5 hours,11,3,4,2
25545,33,3,0,9.17,1,More than 8 hours,5,4,8.5,0
25546,33,3,0,7.88,4,More than 8 hours,3,1,8.5,0
25548,30,3,0,9.91,3,Less than 5 hours,4,1,4,0
25575,30,4,0,9.6,2,Less than 5 hours,4,5,4,2
25576,34,4,0,9.96,4,7-8 hours,5,3,7.5,0
25580,28,4,0,5.56,3,7-8 hours,1,3,7.5,0
25581,21,3,0,9.39,5,Less than 5 hours,8,5,4,2
25586,27,4,0,7.32,1,Less than 5 hours,3,2,4,2
25591,26,2,0,9.96,4,Less than 5 hours,10,3,4,2
25606,25,3,0,5.79,4,Less than 5 hours,7,3,4,2
25607,23,5,0,9.93,3,Less than 5 hours,7,5,4,2
25615,27,5,0,5.61,5,5-6 hours,10,5,5.5,2
25625,24,1,0,7.52,2,5-6 hours,11,4,5.5,2
25634,18,2,0,6.78,5,More than 8 hours,8,1,8.5,0
25637,26,1,0,5.47,2,Less than 5 hours,5,3,4,0
25652,20,2,0,9.89,2,5-6 hours,2,1,5.5,1
25663,33,1,0,5.64,5,Less than 5 hours,2,1,4,0
25667,27,1,0,7.77,4,More than 8 hours,8,1,8.5,0
25669,23,1,0,5.74,3,7-8 hours,4,1,7.5,0
25672,27,5,0,8.59,1,5-6 hours,4,5,5.5,2
25679,20,4,0,5.16,5,7-8 hours,12,2,7.5,0
25680,25,4,0,6.75,2,More than 8 hours,8,2,8.5,0
25682,29,2,0,7.38,4,7-8 hours,8,1,7.5,1
25685,27,5,0,6.1,5,7-8 hours,8,4,7.5,0
25694,25,4,0,5.57,2,More than 8 hours,0,4,8.5,0
25696,34,1,0,7.27,4,More than 8 hours,9,1,8.5,0
25721,27,4,0,5.99,3,Less than 5 hours,10,1,4,2
25722,20,4,0,6.25,2,Less than 5 hours,7,5,4,2
25724,26,4,0,9.04,2,Less than 5 hours,4,5,4,2
25733,25,3,0,8.74,4,Less than 5 hours,12,3,4,2
25735,24,1,0,8.74,1,5-6 hours,7,3,5.5,2
25740,26,5,0,9.93,1,5-6 hours,6,3,5.5,2
25744,30,5,0,6.83,3,7-8 hours,12,4,7.5,0
25745,27,1,0,7.77,2,Less than 5 hours,10,5,4,2
25747,34,2,0,9.63,4,7-8 hours,2,5,7.5,1
25758,32,4,0,5.89,2,7-8 hours,11,4,7.5,0
25761,34,1,0,7.5,4,5-6 hours,3,1,5.5,0
25766,24,4,0,6.69,2,7-8 hours,8,5,7.5,0
25768,21,1,0,9.67,5,5-6 hours,11,4,5.5,2
25771,31,2,0,7.26,4,5-6 hours,4,1,5.5,1
25775,33,4,0,8.38,2,Less than 5 hours,9,5,4,2
25776,22,5,0,7.09,4,5-6 hours,10,2,5.5,2
25784,18,4,0,6.74,1,7-8 hours,11,4,7.5,0
25794,18,5,0,7.3,5,7-8 hours,7,4,7.5,0
25799,30,3,0,7.35,1,7-8 hours,6,4,7.5,1
25806,21,2,0,9.12,3,7-8 hours,12,3,7.5,1
25814,29,1,0,9.84,1,More than 8 hours,10,2,8.5,0
25827,25,5,0,5.97,1,More than 8 hours,8,5,8.5,0
25834,21,2,0,8.04,1,More than 8 hours,6,5,8.5,0
25840,29,1,0,8,2,7-8 hours,3,1,7.5,0
25842,24,1,0,8.88,4,7-8 hours,11,1,7.5,0
25843,26,5,0,6.51,5,Less than 5 hours,11,3,4,2
25853,30,1,0,9.24,4,5-6 hours,5,5,5.5,0
25855,30,2,0,9.96,4,Less than 5 hours,3,1,4,0
25863,22,5,0,5.82,1,7-8 hours,7,3,7.5,0
25865,30,3,0,8.53,3,5-6 hours,1,1,5.5,1
25870,29,2,0,7.53,4,Less than 5 hours,12,5,4,2
25875,24,2,0,7.08,4,More than 8 hours,3,3,8.5,0
25876,31,1,0,6,1,Less than 5 hours,6,3,4,0
25879,20,1,0,6.92,4,7-8 hours,5,5,7.5,0
25883,24,4,0,9.89,2,5-6 hours,8,1,5.5,2
25892,18,3,0,8.5,5,7-8 hours,8,5,7.5,1
25895,34,2,0,9.79,4,7-8 hours,8,1,7.5,1
25896,24,1,0,9.37,4,Less than 5 hours,5,5,4,0
25902,18,5,0,5.6,1,Less than 5 hours,6,2,4,2
25905,33,2,0,9.17,4,Less than 5 hours,9,3,4,2
25913,27,4,0,9.93,4,Less than 5 hours,6,5,4,2
25936,30,3,0,8.35,1,Less than 5 hours,9,4,4,2
25937,28,3,0,7.02,1,5-6 hours,7,1,5.5,2
25945,28,2,0,7.09,3,5-6 hours,10,5,5.5,2
25951,33,1,0,7.88,1,More than 8 hours,8,5,8.5,0
25953,24,3,0,8.17,1,Less than 5 hours,10,1,4,2
25954,22,5,0,6.17,2,7-8 hours,5,3,7.5,0
25956,27,5,0,5.16,2,7-8 hours,8,5,7.5,0
25957,21,1,0,7.94,5,More than 8 hours,4,5,8.5,0
25958,23,2,0,9.24,2,7-8 hours,11,1,7.5,1
25962,23,4,0,5.85,1,5-6 hours,0,1,5.5,2
25966,20,5,0,6.91,5,Less than 5 hours,11,5,4,2
25969,28,1,0,5.11,3,7-8 hours,0,4,7.5,0
25979,19,4,0,7.38,1,More than 8 hours,1,4,8.5,0
25981,27,3,0,5.67,3,More than 8 hours,4,4,8.5,0
25982,21,3,0,5.58,1,Less than 5 hours,8,4,4,2
25986,18,2,0,8.91,5,5-6 hours,5,1,5.5,1
25990,26,4,0,9.67,3,5-6 hours,7,5,5.5,2
25993,22,2,0,7.39,1,Less than 5 hours,12,5,4,2
25997,20,3,0,8.32,1,Less than 5 hours,10,5,4,2
26004,24,4,0,5.8,4,7-8 hours,7,4,7.5,0
26006,27,3,0,8.7,1,5-6 hours,10,4,5.5,2
26022,18,5,0,9.79,2,More than 8 hours,3,2,8.5,0
26034,30,2,0,8.4,3,More than 8 hours,11,4,8.5,0
26056,32,2,0,5.74,3,Less than 5 hours,10,3,4,2
26058,25,1,0,6.36,4,5-6 hours,0,1,5.5,0
26074,27,1,0,9.92,4,More than 8 hours,6,1,8.5,0
26084,31,3,0,7.5,1,5-6 hours,12,4,5.5,2
26088,24,4,0,9.6,5,5-6 hours,10,2,5.5,2
26097,18,3,0,7.25,4,More than 8 hours,12,4,8.5,0
26123,23,5,0,8.37,3,7-8 hours,12,3,7.5,0
26125,31,1,0,9.41,1,5-6 hours,11,2,5.5,2
26128,25,4,0,8.04,4,Less than 5 hours,10,5,4,2
26158,27,3,0,5.57,5,More than 8 hours,3,5,8.5,0
26175,33,1,0,9.6,4,More than 8 hours,7,1,8.5,0
26182,20,5,0,6.35,3,5-6 hours,8,4,5.5,2
26184,29,2,0,9.24,2,More than 8 hours,0,5,8.5,0
26185,23,2,0,8.14,5,Less than 5 hours,12,5,4,2
26194,24,3,0,9.84,5,5-6 hours,0,5,5.5,1
26195,26,1,0,5.64,2,7-8 hours,9,5,7.5,0
26209,21,3,0,8.95,2,7-8 hours,8,5,7.5,1
26222,28,4,0,6.38,2,More than 8 hours,10,3,8.5,0
26225,23,5,0,9.88,1,Less than 5 hours,12,2,4,2
26226,26,3,0,6.16,4,More than 8 hours,10,4,8.5,0
26230,32,2,0,5.86,4,5-6 hours,6,4,5.5,1
26244,23,1,0,8.14,5,Less than 5 hours,8,3,4,2
26249,22,3,0,7.38,1,More than 8 hours,3,2,8.5,0
26262,24,1,0,7.53,5,More than 8 hours,10,1,8.5,0
26263,20,5,0,6.37,3,More than 8 hours,11,4,8.5,0
26268,18,4,0,9.21,5,Less than 5 hours,7,3,4,2
26270,20,3,0,7.8,4,Less than 5 hours,6,4,4,0
26274,30,2,0,7.82,1,Less than 5 hours,9,4,4,2
26277,19,1,0,8.81,1,5-6 hours,2,1,5.5,0
26279,20,4,0,6,3,5-6 hours,10,5,5.5,2
26280,22,3,0,6,1,7-8 hours,0,4,7.5,1
26283,29,1,0,9.88,2,Less than 5 hours,11,4,4,2
26284,30,2,0,7.94,2,5-6 hours,0,1,5.5,1
26291,31,1,0,6.82,1,7-8 hours,12,5,7.5,0
26305,28,4,0,8.46,5,More than 8 hours,9,2,8.5,0
26309,33,1,0,9.98,3,More than 8 hours,10,1,8.5,0
26326,28,3,0,5.71,5,5-6 hours,1,4,5.5,1
26330,28,5,0,9.06,3,More than 8 hours,8,2,8.5,0
26333,21,2,0,9.39,2,7-8 hours,11,5,7.5,1
26334,18,4,0,8.5,4,7-8 hours,9,4,7.5,0
26336,21,1,0,8.95,1,5-6 hours,7,2,5.5,2
26343,32,3,0,8.95,5,5-6 hours,9,2,5.5,2
26345,21,1,0,6.03,4,5-6 hours,12,4,5.5,2
26347,34,1,0,9.84,1,5-6 hours,11,3,5.5,2
26349,26,3,0,6.46,4,7-8 hours,0,3,7.5,1
26351,26,3,0,5.7,5,More than 8 hours,9,1,8.5,0
26384,26,4,0,9.54,5,More than 8 hours,1,4,8.5,0
26386,29,5,0,9.96,2,7-8 hours,11,2,7.5,0
26390,23,3,0,5.74,5,Less than 5 hours,8,4,4,2
26392,18,5,0,9.98,4,More than 8 hours,2,2,8.5,0
26394,24,4,0,8.95,1,Less than 5 hours,12,5,4,2
26400,18,2,0,6.53,4,Less than 5 hours,6,4,4,0
26403,31,1,0,9.69,1,Less than 5 hours,11,3,4,2
26404,31,1,0,9.88,4,More than 8 hours,11,3,8.5,0
26411,20,3,0,9.1,4,More than 8 hours,5,4,8.5,0
26412,34,1,0,8.69,1,Less than 5 hours,12,3,4,2
26413,23,3,0,9.05,5,5-6 hours,11,4,5.5,2
26415,28,3,0,9.66,4,7-8 hours,9,5,7.5,1
26416,21,5,0,8.19,4,Less than 5 hours,10,5,4,2
26424,20,2,0,5.37,4,More than 8 hours,6,1,8.5,0
26426,25,2,0,9.21,5,7-8 hours,9,2,7.5,1
26428,21,4,0,5.08,1,7-8 hours,7,4,7.5,0
26433,29,3,0,9.44,4,Less than 5 hours,5,1,4,0
26435,21,4,0,7.88,2,More than 8 hours,9,4,8.5,0
26440,25,1,0,9.91,2,More than 8 hours,9,4,8.5,0
26442,22,5,0,7.87,3,Less than 5 hours,12,4,4,2
26443,28,4,0,6.75,3,7-8 hours,1,1,7.5,0
26445,34,3,0,9.16,5,Less than 5 hours,6,5,4,0
26461,22,3,0,8.95,3,7-8 hours,9,5,7.5,1
26463,21,4,0,6.95,2,5-6 hours,10,2,5.5,2
26474,30,1,0,8.1,1,More than 8 hours,0,3,8.5,0
26477,27,2,0,7.48,4,Less than 5 hours,7,2,4,2
26482,19,5,0,7.92,4,Less than 5 hours,12,5,4,2
26483,28,3,0,8.04,3,Less than 5 hours,6,3,4,0
26484,34,4,0,9.56,4,Less than 5 hours,7,2,4,2
26487,29,5,0,9.1,2,5-6 hours,11,2,5.5,2
26495,18,3,0,9.92,5,7-8 hours,11,5,7.5,1
26508,20,4,0,5.68,3,More than 8 hours,10,4,8.5,0
26511,20,5,0,6.73,3,5-6 hours,3,5,5.5,2
